Episode;Number of steps;Total reward
0;60;-1041.625
1;48;-1889.75
2;59;-1319.125
3;26;-1378.125
4;46;-1428.625
5;39;-1629.25
6;47;-942.75
7;39;-968.0
8;51;-1091.75
9;34;-524.375
